snapshot,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula
30/07/2035 15:00,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885
30/07/2035 15:30,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885
30/07/2035 16:00,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885,74.82245885
30/07/2035 16:30,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
30/07/2035 17:00,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
30/07/2035 17:30,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
30/07/2035 18:00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30/07/2035 18:30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30/07/2035 19:00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30/07/2035 19:30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30/07/2035 20:00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30/07/2035 20:30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30/07/2035 21:00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30/07/2035 21:30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30/07/2035 22:00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30/07/2035 22:30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30/07/2035 23:00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30/07/2035 23:30,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 00:00,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 00:30,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 01:00,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 01:30,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 02:00,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 02:30,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 03:00,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
